año,mes,tavg_mean,tmin_mean,tmax_mean,prcp_sum,wspd_mean,pres_mean,dias_lluvia,dias_registro
1990,1,28.231053783999027,22.28268564434953,33.120930171811715,10.9,6.186486486486486,1010.9416216216217,2,31
1990,2,28.420099820308725,22.514508774604817,33.68739858192333,0.0,6.405029585798816,1010.6857988165679,0,28
1990,3,27.920137781469673,22.70617401319726,33.455343775039246,14.0,6.063763292475038,1010.9570570570571,2,31
1990,4,28.326813269621287,22.55455125470972,32.58621248197049,44.0,5.988205759101919,1010.745,3,30
1990,5,28.054806918631805,22.459292780951767,32.69631491143463,41.300000000000004,7.040860215053763,1011.6268817204301,8,31
1990,6,29.01784325872451,22.817051109434562,34.49058447927592,0.0,8.018666666666666,1012.2233333333334,0,30
1990,7,28.509032258064515,22.30483870967742,34.14903225806452,10.7,11.233548387096775,1012.4174193548388,5,31
1990,8,29.83225806451613,23.47258064516129,35.685483870967744,11.1,10.692959770114943,1011.8156989247311,4,31
1990,9,30.117272727272727,23.203030303030303,36.148371824199465,1.8,9.334751619755142,1011.0869500372856,3,30
1990,10,28.07790757269302,21.891471517688714,33.53950326765928,10.6,7.007096774193548,1010.9167741935485,3,31
1990,11,27.227895379235818,22.002971644201505,31.8726448459441,31.1,6.208666666666667,1010.9373333333334,5,30
1990,12,27.06705206576843,21.98325641526661,31.63677227851543,49.300000000000004,6.147096774193548,1010.5896774193548,4,31
1991,1,28.241935483870968,22.451612903225808,33.19462365591398,7.1,6.186486486486486,1010.9416216216217,5,31
1991,2,28.541071428571428,22.1375,32.964337993946906,107.2,6.405029585798816,1010.6857988165679,7,28
1991,3,28.243571350675055,22.701064844493448,33.95066635568441,56.2,6.063763292475038,1010.9570570570571,5,31
1991,4,27.712333333333333,22.612000000000002,32.6628768209941,0.0,5.988205759101919,1010.745,0,30
1991,5,28.061827956989244,22.563440860215056,33.72974033979865,43.5,7.040860215053763,1011.6268817204301,5,31
1991,6,29.182170222155378,23.65453879608673,33.76126104183661,0.5,8.018666666666666,1012.2233333333334,1,30
1991,7,28.70345506111258,22.49558737815295,34.51031530286875,6.0,11.233548387096775,1012.4174193548388,4,31
1991,8,28.809380009857353,22.585022807159547,34.17600098226702,1.0,10.692959770114943,1011.8156989247311,1,31
1991,9,29.241666666666667,23.331666666666667,35.20130629713394,34.9,9.334751619755142,1011.0869500372856,4,30
1991,10,29.378225806451614,22.775,33.94195805568556,25.200000000000003,7.007096774193548,1010.9167741935485,4,31
