fecha,tavg,tmin,tmax,prcp,wspd,pres,año,mes,año_mes
1990-01-01,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-02,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-03,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-04,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-05,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-06,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-07,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-08,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-09,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-10,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-11,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-12,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-13,26.8,21.7,32.4,7.9,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-14,26.844444444444445,21.677777777777777,32.42264150943396,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-15,26.88888888888889,21.655555555555555,32.445283018867926,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-16,26.933333333333334,21.633333333333333,32.467924528301886,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-17,26.977777777777778,21.61111111111111,32.490566037735846,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-18,27.022222222222222,21.58888888888889,32.51320754716981,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
1990-01-19,27.066666666666666,21.566666666666666,32.53584905660377,0.0,6.186486486486486,1010.9416216216217,1990,1,1990-01
